name,shape
RibFrac233-label.nii.gz,393
RibFrac247-label.nii.gz,361
RibFrac212-label.nii.gz,337
RibFrac64-label.nii.gz,325
RibFrac276-label.nii.gz,309
RibFrac194-label.nii.gz,419
RibFrac286-label.nii.gz,391
RibFrac407-label.nii.gz,353
RibFrac327-label.nii.gz,321
RibFrac235-label.nii.gz,341
RibFrac188-label.nii.gz,325
RibFrac347-label.nii.gz,333
RibFrac156-label.nii.gz,309
RibFrac122-label.nii.gz,345
RibFrac115-label.nii.gz,325
RibFrac18-label.nii.gz,309
RibFrac330-label.nii.gz,367
RibFrac50-label.nii.gz,392
RibFrac290-label.nii.gz,325
RibFrac31-label.nii.gz,442
RibFrac360-label.nii.gz,337
RibFrac148-label.nii.gz,281
RibFrac417-label.nii.gz,410
RibFrac66-label.nii.gz,361
RibFrac263-label.nii.gz,363
RibFrac149-label.nii.gz,321
RibFrac65-label.nii.gz,457
RibFrac105-label.nii.gz,348
RibFrac323-label.nii.gz,440
RibFrac119-label.nii.gz,279
RibFrac246-label.nii.gz,361
RibFrac121-label.nii.gz,313
RibFrac180-label.nii.gz,345
RibFrac257-label.nii.gz,423
RibFrac377-label.nii.gz,337
RibFrac91-label.nii.gz,329
RibFrac371-label.nii.gz,357
RibFrac12-label.nii.gz,403
RibFrac11-label.nii.gz,333
RibFrac399-label.nii.gz,333
RibFrac283-label.nii.gz,439
RibFrac75-label.nii.gz,418
RibFrac170-label.nii.gz,309
RibFrac218-label.nii.gz,408
RibFrac328-label.nii.gz,357
RibFrac350-label.nii.gz,333
RibFrac224-label.nii.gz,417
RibFrac3-label.nii.gz,337
RibFrac177-label.nii.gz,405
RibFrac390-label.nii.gz,337
RibFrac96-label.nii.gz,424
RibFrac26-label.nii.gz,341
RibFrac76-label.nii.gz,383
RibFrac185-label.nii.gz,396
RibFrac406-label.nii.gz,436
RibFrac349-label.nii.gz,417
RibFrac69-label.nii.gz,321
RibFrac83-label.nii.gz,341
RibFrac239-label.nii.gz,321
RibFrac135-label.nii.gz,399
RibFrac243-label.nii.gz,321
RibFrac413-label.nii.gz,384
